trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
17,1.025462,-1.014977,1.065726,5,-932,0.626958,5,1.947900,511.490000,-69.640000,7.345000,0.950000
18,0.965972,-0.884424,0.928645,6,-736,1.326695,5,1.947900,475.670000,-67.349000,7.063000,0.950000
19,0.969374,-1.017002,1.067852,10,-985,1.213926,3,1.938000,464.690000,-65.326000,7.113000,1.005100
20,0.997332,-0.987240,1.120034,6,-978,0.805445,4,1.947900,494.660000,-68.575000,7.213000,0.950000
21,1.004134,-0.971857,1.020450,8,-1316,0.705077,5,1.947900,498.750000,-68.836000,7.246000,0.950000
22,0.921715,-1.041155,1.093213,7,-1180,1.202769,3,1.947900,448.550000,-65.543000,6.844000,0.950000
23,1.083202,-0.909874,0.955367,6,-896,1.251193,6,1.947900,545.220000,-71.722000,7.602000,0.950000
24,0.963428,-1.124511,1.180737,5,-804,1.335347,4,1.947900,474.120000,-67.247000,7.050000,0.950000
25,0.908982,-0.970724,1.136236,9,-1198,1.299508,7,1.947900,440.700000,-65.007000,6.779000,0.950000
26,1.003772,-0.935331,1.070788,7,-898,0.668818,6,1.947900,498.540000,-68.822000,7.244000,0.950000
27,0.952492,-1.119734,1.175720,5,-1264,0.715401,4,1.947900,467.440000,-66.808000,6.997000,0.950000
28,1.019877,-1.101245,1.156307,5,-1221,1.363687,5,1.947900,508.170000,-69.431000,7.319000,0.950000
29,0.928780,-0.845639,0.909708,5,-1141,0.690491,5,1.947900,452.900000,-65.837000,6.879000,0.950000
30,1.038852,-1.014092,1.064796,8,-1171,1.179275,4,1.947900,519.420000,-70.134000,7.406000,0.950000
31,0.924751,-1.116986,1.172835,5,-990,1.118988,7,1.947900,450.420000,-65.670000,6.859000,0.950000
32,0.957289,-1.116168,1.171977,6,-1106,0.677871,4,1.947900,470.370000,-67.001000,7.020000,0.950000
33,0.983823,-1.128471,1.184894,9,-1242,0.964166,6,1.947900,486.510000,-68.052000,7.149000,0.950000
34,0.903567,-0.873916,1.087840,8,-785,1.014370,5,1.947900,437.350000,-64.777000,6.752000,0.950000
35,1.073548,-1.020623,1.071654,5,-940,1.110329,6,1.947900,539.660000,-71.383000,7.560000,0.950000
36,0.990779,-0.915108,0.960864,7,-1252,0.677380,3,1.947900,490.710000,-68.322000,7.182000,0.950000
37,1.018887,-0.884913,1.086425,5,-714,1.323409,4,1.947900,507.580000,-69.394000,7.314000,0.950000
38,0.956944,-0.887123,0.931479,5,-644,0.732316,3,1.947900,470.160000,-66.988000,7.019000,0.950000
39,1.018229,-1.043672,1.095856,5,-1003,1.287004,6,1.947900,507.190000,-69.369000,7.311000,0.950000
40,0.908695,-0.895405,0.940175,5,-1056,0.923680,3,1.947900,440.520000,-64.995000,6.778000,0.950000
41,0.974723,-0.997055,1.046907,8,-641,1.326475,3,1.947900,480.990000,-67.695000,7.105000,0.950000
