trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
278,2.068593,-0.067732,0.769822,39,0.004085,0.054868,871,3.582400,1063.400000,-24.611000,43.209000,0.776000
279,2.406889,-0.067306,1.027092,36,0.001988,0.115185,786,3.097000,3163.300000,-42.657000,74.157000,0.618900
280,2.250484,-0.058511,0.919397,32,0.003575,0.059401,852,1.924100,299.350000,-36.683000,8.160000,1.108200
281,2.353551,-0.059504,0.902654,33,0.004127,0.106785,645,1.909900,441.110000,-53.232000,8.287000,1.070600
282,2.056915,-0.054952,0.890259,39,0.003562,0.069498,927,2.804900,681.950000,-31.852000,21.410000,0.840800
283,2.146408,-0.066331,0.830259,36,0.004024,0.072568,831,3.117500,1238.820000,-31.743000,39.027000,0.744700
284,2.414418,-0.053711,0.788869,37,0.002615,0.059130,706,3.081200,1327.790000,-30.067000,44.161000,0.697700
285,2.311659,-0.056132,0.855463,38,0.003048,0.114677,689,3.021300,2524.980000,-40.092000,62.979000,0.610300
286,2.399309,-0.062714,0.796293,39,0.002974,0.064198,520,2.952000,1518.490000,-38.674000,39.264000,0.882800
287,2.282515,-0.051853,0.842380,31,0.002859,0.083833,733,2.468800,811.260000,-30.791000,26.347000,0.664100
288,2.103040,-0.051577,0.930884,34,0.003363,0.061824,440,2.034800,386.900000,-43.792000,8.835000,1.581000
289,2.089249,-0.059218,0.871399,38,0.002707,0.092192,774,3.491200,2462.330000,-31.679000,77.727000,0.677900
290,1.989606,-0.060272,0.858104,34,0.002041,0.110363,975,2.352100,732.860000,-43.925000,16.684000,0.841900
291,1.989798,-0.061825,0.971238,33,0.003690,0.099530,967,2.055800,444.650000,-45.223000,9.832000,0.922400
292,2.411642,-0.051762,0.885133,35,0.002152,0.078213,1001,3.146500,1670.650000,-28.864000,57.879000,0.636300
293,1.987141,-0.059145,0.992517,33,0.002952,0.124419,706,2.044800,468.140000,-47.130000,9.933000,1.544300
294,2.037605,-0.051931,1.020262,33,0.003010,0.060531,676,1.901200,259.050000,-31.529000,8.216000,1.019200
295,2.389246,-0.060043,1.027206,33,0.003011,0.115886,690,2.210800,804.300000,-52.814000,15.229000,0.881500
296,2.102974,-0.066399,0.870270,35,0.004144,0.067427,606,2.823600,811.450000,-34.405000,23.585000,0.904100
297,1.993671,-0.058053,0.819050,37,0.002235,0.102587,584,3.080700,1664.440000,-32.764000,50.802000,0.632000
298,2.136296,-0.057279,0.958523,35,0.002667,0.115389,761,3.188000,2551.170000,-37.466000,68.093000,0.600800
299,2.074086,-0.067202,0.857516,30,0.002987,0.062924,569,1.920500,297.920000,-41.482000,7.182000,1.417000
